File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],,Des 1,Des 2,Des 3
,2.7,2.6,0.6,6,100,2143,2192,2586,0.49,,8.166666667,0,perm,,,
,2.7,2.6,0.6,7,100,2655,2806,3364,1.51,,25.16666667,0,perm,,,
,2.7,2.6,0.6,8,100,3427,3435,3842,0.08,,1.333333333,0,perm,,,
,2.7,2.6,0.6,9,100,3914,3963,4417,0.49,,8.166666667,0,perm,,,
,2.7,2.6,0.6,10,100,4517,4678,5173,1.61,,26.83333333,0,perm,,,
,2.7,2.6,0.6,11,100,5264,5297,5487,0.33,1.9,5.5,31.66666667,temporary,,,
,2.7,2.6,0.6,12,100,5487,5502,5875,0.15,,2.5,0,perm,,,
,2.7,2.6,0.6,13,100,5948,6025,6478,0.77,,12.83333333,0,perm,,,
,2.7,2.6,0.6,14,100,6553,6625,7156,0.72,,12,0,perm,,,
,2.7,2.6,0.6,15,100,7231,7445,7978,2.14,,35.66666667,0,perm,,,
,2.7,2.6,0.6,16,100,8056,8065,8431,0.09,,1.5,0,perm,,,
,2.7,2.6,0.6,17,100,8517,8663,8768,1.46,1.05,24.33333333,17.5,temporary,,,
,2.7,2.6,0.6,18,100,8768,8785,8936,0.17,1.51,2.833333333,25.16666667,temporary,,,
,2.7,2.6,0.6,19,100,8936,8948,9492,0.12,,2,0,perm,,,
,2.7,2.6,0.6,20,100,9566,9581,10017,0.15,,2.5,0,perm,,,
,2.7,2.6,0.6,21,100,10085,10103,10516,0.18,,3,0,perm,,,
,2.7,2.6,0.6,22,100,10582,10596,11154,0.14,,2.333333333,0,perm,,,
,2.7,2.6,0.6,23,100,11226,11336,11375,1.1,0.39,18.33333333,6.5,temporary,,,
,2.7,2.6,0.6,24,100,11375,11424,11848,0.49,,8.166666667,0,perm,,,
,2.7,2.6,0.6,25,100,11913,12042,12599,1.29,,21.5,0,perm,,,
,2.7,2.6,0.6,26,100,12665,12959,13410,2.94,,49,0,perm,,,
,2.7,2.6,0.6,27,100,13493,13519,13533,0.26,,4.333333333,0,temporary,partial,,
,,,,,100,13533,13566,,0.33,,,,,,,
,,,,,,,,,,,,,,,,
"w2,7_h2,6_ts500_phic_1ml,min_100fps_2",2.7,2.6,0.6,1,100,451,471,835,0.2,,3.333333333,0,perm,,,
,2.7,2.6,0.6,2,100,903,917,1312,0.14,,2.333333333,0,perm,,,
,2.7,2.6,0.6,3,100,1382,1402,1864,0.2,,3.333333333,0,perm,,,
,2.7,2.6,0.6,4,100,1966,2072,2454,1.06,,17.66666667,0,perm,,,
,2.7,2.6,0.6,5,100,2537,2556,2856,0.19,,3.166666667,0,perm,,,
,2.7,2.6,0.6,6,100,2917,2933,3261,0.16,,2.666666667,0,perm,,,
,2.7,2.6,0.6,7,100,3328,3337,3747,0.09,,1.5,0,perm,,,
,2.7,2.6,0.6,8,100,3814,3880,4244,0.66,,11,0,perm,,,
,2.7,2.6,0.6,9,100,4312,4334,4508,0.22,1.74,3.666666667,29,temporary,,,
,2.7,2.6,0.6,10,100,4508,4540,4742,0.32,2.02,5.333333333,33.66666667,temporary,,,
,2.7,2.6,0.6,11,100,4742,4783,5253,0.41,,6.833333333,0,perm,,,
,2.7,2.6,0.6,12,100,5320,5330,5711,0.1,,1.666666667,0,perm,,,
,2.7,2.6,0.6,13,100,5769,5805,6182,0.36,,6,0,perm,,,
,2.7,2.6,0.6,14,100,6260,6275,6659,0.15,,2.5,0,perm,,,
,2.7,2.6,0.6,15,100,6715,6732,7233,0.17,,2.833333333,0,perm,,,
,2.7,2.6,0.6,16,100,7300,7334,7822,0.34,,5.666666667,0,perm,,,
,2.7,2.6,0.6,17,100,7884,7974,8493,0.9,,15,0,perm,,,
,2.7,2.6,0.6,18,100,8552,8556,8886,0.04,,0.666666667,0,perm,,,
,2.7,2.6,0.6,19,100,8964,8989,9008,0.25,0.19,4.166666667,3.166666667,temporary,,,
,2.7,2.6,0.6,20,100,9008,9147,9611,1.39,,23.16666667,0,perm,,,
,2.7,2.6,0.6,21,100,9681,9692,9854,0.11,1.62,1.833333333,27,temporary,,,
,2.7,2.6,0.6,22,100,9854,9894,10148,0.4,,6.666666667,0,perm,,,
,2.7,2.6,0.6,23,100,10220,10273,10313,0.53,0.4,8.833333333,6.666666667,temporary,,,
,2.7,2.6,0.6,24,100,10313,10349,10919,0.36,,6,0,perm,,,
,2.7,2.6,0.6,25,100,10998,11085,11619,0.87,,14.5,0,perm,,,
,2.7,2.6,0.6,26,100,11707,11753,12133,0.46,,7.666666667,0,perm,,,
,2.7,2.6,0.6,27,100,12209,12221,12303,0.12,0.82,2,13.66666667,temporary,,,
,2.7,2.6,0.6,28,100,12303,12313,12434,0.1,1.21,1.666666667,20.16666667,temporary,,,
,2.7,2.6,0.6,29,100,12434,12475,12920,0.41,,6.833333333,0,perm,,,
,2.7,2.6,0.6,30,100,13007,13016,13045,0.09,0.29,1.5,4.833333333,temporary,,,
,2.7,2.6,0.6,31,100,13045,13072,13501,0.27,,4.5,0,perm,,,
,2.7,2.6,0.6,32,100,13581,13780,14249,1.99,,33.16666667,0,perm,,,
,2.7,2.6,0.6,33,100,14318,14389,14914,0.71,,11.83333333,0,perm,,,
,2.7,2.6,0.6,34,100,14985,15035,15505,0.5,,8.333333333,0,perm,,,
,2.7,2.6,0.6,35,100,15577,15594,15993,0.17,3.99,2.833333333,66.5,temporary,,,
,2.7,2.6,0.6,36,100,15993,16067,16506,0.74,,12.33333333,0,perm,,,
,2.7,2.6,0.6,37,100,16583,16604,16613,0.21,,3.5,0,temporary,,,
,2.7,2.6,0.6,38,100,16613,16657,16745,0.44,0.88,7.333333333,14.66666667,temporary,,,
,2.7,2.6,0.6,39,100,16745,16792,17306,0.47,,7.833333333,0,perm,,,
,2.7,2.6,0.6,40,100,17390,17416,17942,0.26,,4.333333333,0,perm,,,
,2.7,2.6,0.6,41,100,18027,18198,18844,1.71,,28.5,0,perm,,,
,2.7,2.6,0.6,42,100,18918,19112,19155,1.94,,32.33333333,0,perm,,,
,2.7,2.6,0.6,43,100,19155,19182,19201,0.27,0.19,4.5,3.166666667,temporary,partial,,
,2.7,2.6,0.6,44,100,19201,19276,19690,0.75,,12.5,0,perm,,,
,2.7,2.6,0.6,45,100,19764,19816,20377,0.52,,8.666666667,0,perm,,,
,2.7,2.6,0.6,46,100,20445,20542,20594,0.97,0.52,16.16666667,8.666666667,temporary,,,
,2.7,2.6,0.6,47,100,20594,20648,21007,0.54,,9,0,perm,,,
,2.7,2.6,0.6,48,100,21086,21106,,0.2,,3.333333333,0,,,,
,,,,,,,,,,,,,,,,
"w2,7_h2,6_ts500_phic_1ml,min_100fps_3",2.7,2.6,0.6,1,100,436,456,853,0.2,,3.333333333,0,perm,,,
,2.7,2.6,0.6,2,100,945,975,1419,0.3,,5,0,perm,,,
,2.7,2.6,0.6,3,100,1498,1518,1543,0.2,0.25,3.333333333,4.166666667,temporary,partial,,
,2.7,2.6,0.6,4,100,1543,1568,2313,0.25,,4.166666667,0,perm,,forms at a cool angle.,
,2.7,2.6,0.6,5,100,2405,2436,3045,0.31,,5.166666667,0,perm,,,
,2.7,2.6,0.6,6,100,3140,3157,3456,0.17,2.99,2.833333333,49.83333333,temporary,,,
,2.7,2.6,0.6,7,100,3456,3546,3601,0.9,0.55,15,9.166666667,temporary,,,
,2.7,2.6,0.6,8,100,3601,3686,4209,0.85,,14.16666667,0,perm,,,
,2.7,2.6,0.6,9,100,4287,4330,4838,0.43,,7.166666667,0,perm,,,
,2.7,2.6,0.6,10,100,4907,5020,5025,1.13,,18.83333333,0,temporary,,,
,2.7,2.6,0.6,11,100,5025,5033,5831,0.08,,1.333333333,0,perm,,,
,2.7,2.6,0.6,12,100,5910,6021,6645,1.11,,18.5,0,perm,,,
,2.7,2.6,0.6,13,100,6723,6770,6807,0.47,0.37,7.833333333,6.166666667,temporary,,,
,2.7,2.6,0.6,14,100,6807,6946,7516,1.39,,23.16666667,0,perm,,,
,2.7,2.6,0.6,15,100,7596,7651,8213,0.55,,9.166666667,0,perm,,,
,2.7,2.6,0.6,16,100,8297,8378,9085,0.81,,13.5,0,perm,,,
,2.7,2.6,0.6,17,100,9166,9187,9730,0.21,,3.5,0,perm,,,
,2.7,2.6,0.6,18,100,9809,9906,10084,0.97,1.78,16.16666667,29.66666667,temporary,,,
,2.7,2.6,0.6,19,100,10084,10297,10656,2.13,3.59,35.5,59.83333333,temporary,,,
,2.7,2.6,0.6,20,100,10656,10732,10919,0.76,1.87,12.66666667,31.16666667,temporary,,,
,2.7,2.6,0.6,21,100,10919,10921,11183,0.02,2.62,0.333333333,43.66666667,temporary,,,
,2.7,2.6,0.6,22,100,11183,11483,12642,3,,50,0,perm,,,
,2.7,2.6,0.6,23,100,12727,13036,13096,3.09,0.6,51.5,10,temporary,,,
,2.7,2.6,0.6,24,100,13096,13108,13123,0.12,,2,0,temporary,,,
,,,,,100,13123,,,,,,,,,,
,,,,,,,,,,,,,,,,
"w2,7_h2,6_ts500_phic_1ml,min_100fps_4",2.7,2.6,0.6,1,100,517,587,1025,0.7,,11.66666667,0,perm,,,
,2.7,2.6,0.6,2,100,1107,1180,1389,0.73,2.09,12.16666667,34.83333333,temporary,,,
,2.7,2.6,0.6,3,100,1389,1409,1914,0.2,,3.333333333,0,perm,,,
,2.7,2.6,0.6,4,100,1972,1977,2238,0.05,,0.833333333,0,perm,,,
,2.7,2.6,0.6,5,100,2286,2307,2313,0.21,,3.5,0,temporary,partial,,
,2.7,2.6,0.6,6,100,2313,2347,3087,0.34,,5.666666667,0,perm,,,
,2.7,2.6,0.6,7,100,3141,3377,3885,2.36,,39.33333333,0,perm,,,
,2.7,2.6,0.6,8,100,3953,3964,4249,0.11,,1.833333333,0,perm,,,
,2.7,2.6,0.6,9,100,4300,4315,4431,0.15,,2.5,0,perm,,,
,2.7,2.6,0.6,10,100,4502,4552,5063,0.5,,8.333333333,0,perm,,,
,2.7,2.6,0.6,11,100,5133,5236,5843,1.03,,17.16666667,0,perm,,,
,2.7,2.6,0.6,12,100,5906,5969,6531,0.63,,10.5,0,perm,,,
,2.7,2.6,0.6,13,100,6594,6692,7332,0.98,,16.33333333,0,perm,,,
,2.7,2.6,0.6,14,100,7400,7417,7878,0.17,,2.833333333,0,perm,,,
,2.7,2.6,0.6,15,100,7936,8007,8607,0.71,,11.83333333,0,perm,,,
,2.7,2.6,0.6,16,100,8667,8686,9201,0.19,,3.166666667,0,perm,,,
,2.7,2.6,0.6,17,100,9268,9285,9723,0.17,,2.833333333,0,perm,,,
,2.7,2.6,0.6,18,100,9770,9776,10156,0.06,,1,0,perm,,,
,2.7,2.6,0.6,19,100,10207,10239,10246,0.32,,5.333333333,0,temporary,partial,,
,2.7,2.6,0.6,20,100,10246,10286,10886,0.4,,6.666666667,0,perm,,,
,2.7,2.6,0.6,21,100,10961,10973,11465,0.12,,2,0,perm,,,
,2.7,2.6,0.6,22,100,11532,11596,12108,0.64,,10.66666667,0,perm,,,
,2.7,2.6,0.6,23,100,12165,12238,12705,0.73,,12.16666667,0,perm,,,
,2.7,2.6,0.6,24,100,12767,12798,12854,0.31,0.56,5.166666667,9.333333333,temporary,,,
,2.7,2.6,0.6,25,100,12854,12938,12956,0.84,0.18,14,3,temporary,,,
,2.7,2.6,0.6,26,100,12956,12966,13489,0.1,,1.666666667,0,perm,,,
,2.7,2.6,0.6,27,100,13545,13551,13908,0.06,,1,0,perm,,,
,2.7,2.6,0.6,28,100,13967,14023,14463,0.56,,9.333333333,0,perm,,,
,2.7,2.6,0.6,29,100,14533,14605,15043,0.72,,12,0,perm,,,
,2.7,2.6,0.6,30,100,15107,15291,15749,1.84,,30.66666667,0,perm,,,
,2.7,2.6,0.6,31,100,15808,15835,16269,0.27,,4.5,0,perm,,,
,2.7,2.6,0.6,32,100,16318,16323,16788,0.05,,0.833333333,0,perm,,,
,2.7,2.6,0.6,33,100,16842,16852,17214,0.1,,1.666666667,0,perm,,,
,,,,,100,17262,17289,,,,,,,,,
,,,,,,,,,,,,,,,,
"w2,7_h2,6_ts500_phic_1ml,min_100fps_5",2.7,2.6,0.6,1,100,389,418,777,0.29,3.59,4.833333333,59.83333333,temporary,,,
,2.7,2.6,0.6,2,100,777,790,1105,0.13,,2.166666667,0,perm,,,
,2.7,2.6,0.6,3,100,1153,1181,1709,0.28,,4.666666667,0,perm,,,
,2.7,2.6,0.6,4,100,1751,1767,2245,0.16,,2.666666667,0,perm,,,
,2.7,2.6,0.6,5,100,2297,2529,3147,2.32,,38.66666667,0,perm,,,
,2.7,2.6,0.6,6,100,3211,3221,3768,0.1,,1.666666667,0,perm,,,
,2.7,2.6,0.6,7,100,3821,3903,3928,0.82,0.25,13.66666667,4.166666667,temporary,,,
,2.7,2.6,0.6,8,100,3928,3998,4519,0.7,,11.66666667,0,perm,,,
,2.7,2.6,0.6,9,100,4594,4604,4749,0.1,1.45,1.666666667,24.16666667,temporary,,,
,2.7,2.6,0.6,10,100,4749,4765,5119,0.16,,2.666666667,0,perm,,,
,2.7,2.6,0.6,11,100,5190,5197,5641,0.07,,1.166666667,0,perm,,,
,2.7,2.6,0.6,12,100,5710,5741,5788,0.31,0.47,5.166666667,7.833333333,temporary,,,
,2.7,2.6,0.6,13,100,5788,5823,6296,0.35,,5.833333333,0,perm,,,
,2.7,2.6,0.6,14,100,6356,6370,6385,0.14,,2.333333333,0,temporary,,,
,2.7,2.6,0.6,15,100,6385,6448,7051,0.63,,10.5,0,perm,,,
,2.7,2.6,0.6,16,100,7102,7136,7630,0.34,,5.666666667,0,perm,,,
,2.7,2.6,0.6,17,100,7682,7719,8168,0.37,,6.166666667,0,perm,,,
,2.7,2.6,0.6,18,100,8219,8453,8563,2.34,1.1,39,18.33333333,temporary,,,
,2.7,2.6,0.6,19,100,8563,8655,9135,0.92,,15.33333333,0,perm,,,
,2.7,2.6,0.6,20,100,9191,9242,9260,0.51,,8.5,0,perm,,,
,2.7,2.6,0.6,21,100,9676,9718,10112,0.42,,7,0,perm,,,
,2.7,2.6,0.6,22,100,10170,10173,10518,0.03,,0.5,0,perm,,,
,2.7,2.6,0.6,23,100,10569,10685,11254,1.16,,19.33333333,0,perm,,,
,2.7,2.6,0.6,24,100,11298,11309,11733,0.11,,1.833333333,0,perm,,,
,2.7,2.6,0.6,25,100,11800,11987,12485,1.87,,31.16666667,0,perm,,,
,2.7,2.6,0.6,26,100,12551,12639,12663,0.88,0.24,14.66666667,4,temporary,,,
,2.7,2.6,0.6,27,100,12663,12673,13138,0.1,,1.666666667,0,perm,,,
,2.7,2.6,0.6,28,100,13193,13211,13513,0.18,3.02,3,50.33333333,temporary,,,
,2.7,2.6,0.6,29,100,13513,13685,14231,1.72,,28.66666667,0,perm,,,
,2.7,2.6,0.6,30,100,14295,14324,14800,0.29,,4.833333333,0,perm,,,
,2.7,2.6,0.6,31,100,14855,14932,,0.77,,12.83333333,0,,,,
,,,,,,,,,,,,,,,,
"w2,7_h2,6_ts500_phic_1ml,min_100fps_6",2.7,2.6,0.6,1,100,24,343,1135,3.19,,53.16666667,0,perm,,,
,2.7,2.6,0.6,2,100,1208,1232,1696,0.24,,4,0,perm,,,
,2.7,2.6,0.6,3,100,1754,1812,1997,0.58,1.85,9.666666667,30.83333333,temporary,,,
,2.7,2.6,0.6,4,100,2006,2125,2151,1.19,0.26,19.83333333,4.333333333,temporary,,,
,2.7,2.6,0.6,5,100,2155,2194,2732,0.39,,6.5,0,perm,,,
,2.7,2.6,0.6,6,100,2790,2824,3412,0.34,,5.666666667,0,perm,,,
,2.7,2.6,0.6,7,100,3464,3541,4187,0.77,,12.83333333,0,perm,,,
,2.7,2.6,0.6,8,100,4250,4336,5052,0.86,,14.33333333,0,perm,,,
,2.7,2.6,0.6,9,100,5109,5870,6818,7.61,,126.8333333,0,perm,,,
,2.7,2.6,0.6,10,100,6876,7014,7567,1.38,,23,0,perm,,,
,2.7,2.6,0.6,11,100,7621,7647,8237,0.26,,4.333333333,0,perm,,,
,2.7,2.6,0.6,12,100,8291,8363,8390,0.72,0.27,12,4.5,temporary,,,
,2.7,2.6,0.6,13,100,8390,8486,,0.96,,16,0,,,,
,,,,,,,,,,,,,,,,
"w2,7_h2,6_ts500_phic_1ml,min_100fps_7",2.7,2.6,0.6,1,100,282,469,956,1.87,,31.16666667,0,perm,,,
,2.7,2.6,0.6,2,100,1018,1039,1361,0.21,,3.5,0,perm,,,
,2.7,2.6,0.6,3,100,1423,1500,1852,0.77,,12.83333333,0,perm,,,
,2.7,2.6,0.6,4,100,1924,1940,1977,0.16,0.37,2.666666667,6.166666667,temporary,,,
,2.7,2.6,0.6,5,100,1977,2024,2359,0.47,,7.833333333,0,perm,,,
,2.7,2.6,0.6,6,100,2415,2552,2941,1.37,,22.83333333,0,perm,,,
,2.7,2.6,0.6,7,100,3007,3013,3273,0.06,,1,0,perm,,,
,2.7,2.6,0.6,8,100,3365,3414,3828,0.49,,8.166666667,0,perm,,,
,2.7,2.6,0.6,9,100,3895,3953,4357,0.58,,9.666666667,0,perm,,,
,2.7,2.6,0.6,10,100,4416,4458,4823,0.42,,7,0,perm,,,
,2.7,2.6,0.6,11,100,4877,4913,5273,0.36,,6,0,perm,,,
,2.7,2.6,0.6,12,100,5348,5360,5618,0.12,,2,0,perm,,,
,2.7,2.6,0.6,13,100,5659,5666,5906,0.07,,1.166666667,0,perm,,,
,2.7,2.6,0.6,14,100,5960,6005,6387,0.45,,7.5,0,perm,,,
,2.7,2.6,0.6,15,100,6435,6469,6837,0.34,,5.666666667,0,perm,,,
,2.7,2.6,0.6,16,100,6888,6928,7350,0.4,,6.666666667,0,perm,,,
,2.7,2.6,0.6,17,100,7406,7571,7921,1.65,,27.5,0,perm,,,
,2.7,2.6,0.6,18,100,7974,7986,8404,0.12,,2,0,perm,,,
,2.7,2.6,0.6,19,100,8454,8461,8473,0.07,,1.166666667,0,temporary,partial,,
,2.7,2.6,0.6,20,100,8473,8492,8936,0.19,,3.166666667,0,perm,,,
,2.7,2.6,0.6,21,100,8988,9076,9475,0.88,,14.66666667,0,perm,,,
,2.7,2.6,0.6,22,100,9525,9546,9954,0.21,,3.5,0,perm,,,
,2.7,2.6,0.6,23,100,10005,10087,10473,0.82,,13.66666667,0,perm,,,
,2.7,2.6,0.6,24,100,10532,10556,10891,0.24,,4,0,perm,,,
,2.7,2.6,0.6,25,100,10944,10960,,0.16,,2.666666667,0,,,,
,,,,,,,,,,,,,,,,
"w2,7_h2,6_ts500_phic_1ml,min_100fps_8",2.7,2.6,0.6,1,100,300,307,751,0.07,,1.166666667,0,perm,,,
,2.7,2.6,0.6,2,100,801,894,949,0.93,0.55,15.5,9.166666667,temporary,,,
,2.7,2.6,0.6,3,100,950,1018,1557,0.68,5.39,11.33333333,89.83333333,temporary,,,
,2.7,2.6,0.6,4,100,1557,1575,1596,0.18,,3,0,perm,,,
,2.7,2.6,0.6,5,100,1664,1801,2288,1.37,4.87,22.83333333,81.16666667,temporary,,,
,2.7,2.6,0.6,6,100,2288,2462,2930,1.74,4.68,29,78,temporary,,,
,2.7,2.6,0.6,7,100,2930,3046,3067,1.16,0.21,19.33333333,3.5,temporary,,,
,2.7,2.6,0.6,8,100,3067,3074,4020,0.07,,1.166666667,0,perm,,,
,2.7,2.6,0.6,9,100,4083,4099,4538,0.16,,2.666666667,0,perm,,,
,2.7,2.6,0.6,10,100,4588,4704,5270,1.16,,19.33333333,0,perm,,,
,2.7,2.6,0.6,11,100,5321,5367,6582,0.46,,7.666666667,0,perm,,,
,2.7,2.6,0.6,12,100,6636,6652,7464,0.16,,2.666666667,0,perm,,,
,2.7,2.6,0.6,13,100,7520,7728,7756,2.08,0.28,34.66666667,4.666666667,temporary,partial,,
,,,,,100,7756,7839,,0.83,,,,,,,
,,,,,,,,,,,,,,,,
"w2,7_h2,6_ts500_phic_1ml,min_100fps_10",2.7,2.6,0.6,1,100,318,321,774,0.03,,0.5,0,perm,,,
,2.7,2.6,0.6,2,100,812,1022,1501,2.1,,35,0,perm,,,
,2.7,2.6,0.6,3,100,1555,1568,2086,0.13,,2.166666667,0,perm,,,
,2.7,2.6,0.6,4,100,2140,2142,2438,0.02,,0.333333333,0,perm,,,
,2.7,2.6,0.6,5,100,2480,2484,2785,0.04,,0.666666667,0,perm,,,
,2.7,2.6,0.6,6,100,2830,2843,3213,0.13,,2.166666667,0,perm,,,
,2.7,2.6,0.6,7,100,3261,3279,3611,0.18,,3,0,perm,,,
,2.7,2.6,0.6,8,100,3657,3710,4084,0.53,,8.833333333,0,perm,,,
,2.7,2.6,0.6,9,100,4128,4145,4535,0.17,,2.833333333,0,perm,,,
,2.7,2.6,0.6,10,100,4574,4578,4876,0.04,,0.666666667,0,perm,,,
,2.7,2.6,0.6,11,100,4910,5137,5157,2.27,0.2,37.83333333,3.333333333,temporary,,,
,2.7,2.6,0.6,12,100,5157,5440,5512,2.83,0.72,47.16666667,12,temporary,,,
,2.7,2.6,0.6,13,100,5512,5602,5666,0.9,0.64,15,10.66666667,temporary,,,
,2.7,2.6,0.6,14,100,5666,5814,6080,1.48,2.66,24.66666667,44.33333333,temporary,,,
,,,,,,,,,,,,,perm,,,
"w2,7_h2,6_ts500_phic_1ml,min_100fps_11",2.7,2.6,0.6,1,100,131,1297,1646,11.66,3.49,194.3333333,58.16666667,temporary,,,
,2.7,2.6,0.6,2,100,1646,2046,2309,4,2.63,66.66666667,43.83333333,temporary,,,
,2.7,2.6,0.6,3,100,2309,2414,2426,1.05,,17.5,0,temporary,,,
,2.7,2.6,0.6,4,100,2426,2687,,2.61,,43.5,0,,,,
